go,z,t,p,nparts,nhits
GO:0008457,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008458,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008459,1.9847592793287976,3.9392693968817687,0.29711964046666683,2,1
GO:0008460,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008465,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008466,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008467,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008469,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008470,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008474,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008475,3.4258485396253464,11.73643821645312,0.075661398939392,3,2
GO:0008476,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008478,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008479,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008480,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008481,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008482,3.1266328314641285,9.775832862789398,,1,1
GO:0008483,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008484,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008486,1.083652270410898,1.1743022431666936,0.35783769368441276,4,1
GO:0008488,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008489,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008493,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008494,0.7588199642466865,0.5758077381393426,0.4626052081636097,13,2
GO:0008495,-0.3198328853764785,0.10229307456824367,,1,0
